y1,y2,y3,y4,x2,x3,z2,y6,x6,x5,z1,G,z3,x1,nx1,nx2,nx3,nx4,nx5,nx6,nx7,nx8,nx9,nx10,nx11,nx12,nx13,nx14,nx15,nx16,nx17
0.49,0.72,0.43,0.1,9376,0.75,65.95,0.86,29.08,0.94,16.0,0.32,0.49,38.49,4.63,71.41,70.49,71.14,67.62,67.22,77.35,78.05,72.74,67.22,86.75,69.65,70.4,71.25,71.36,54.42,42.69
0.48,0.72,0.42,0.1,10167,0.6,59.58,0.9,28.83,0.93,18.6,0.32,0.48,38.72,4.63,71.41,70.49,71.14,67.62,67.22,77.35,78.05,72.74,67.22,86.75,69.65,70.4,71.25,71.36,54.42,42.69
0.48,0.71,0.41,0.09,9790,0.68,62.19,0.9,30.47,0.93,17.9,0.32,0.59,39.03,4.63,71.41,70.49,71.14,67.62,67.22,77.35,78.05,72.74,67.22,86.75,69.65,70.4,71.25,71.36,54.42,42.69
0.48,0.71,0.41,0.1,10075,0.71,61.78,0.9,29.99,0.93,17.9,0.32,0.49,39.36,4.66,73.25,72.82,73.26,69.84,69.56,77.41,78.15,72.9,67.55,83.58,69.18,70.55,72.76,72.8,54.54,41.91
0.48,0.7,0.41,0.1,9713,0.72,62.17,0.9,29.91,0.92,17.7,0.33,0.52,39.84,4.66,73.25,72.82,73.26,69.84,69.56,77.41,78.15,72.9,67.55,83.58,69.18,70.55,72.76,72.8,54.54,41.91
0.47,0.7,0.41,0.12,9721,0.73,60.8,0.89,30.16,0.93,17.1,0.32,0.59,40.22,4.66,73.25,72.82,73.26,69.84,69.56,77.41,78.15,72.9,67.55,83.58,69.18,70.55,72.76,72.8,54.54,41.91
0.46,0.69,0.4,0.1,9594,0.75,58.89,0.89,29.87,0.94,17.4,0.32,0.51,40.49,4.63,71.48,71.22,71.6,68.06,67.2,75.46,76.26,71.24,65.4,86.75,69.39,68.34,71.13,71.03,51.95,39.2
0.45,0.68,0.38,0.13,9523,0.76,58.97,0.88,30.92,0.94,18.1,0.32,0.6,40.79,4.63,71.48,71.22,71.6,68.06,67.2,75.46,76.26,71.24,65.4,86.75,69.39,68.34,71.13,71.03,51.95,39.2
0.45,0.68,0.39,0.15,9023,0.77,58.54,0.88,30.21,0.94,17.2,0.32,0.59,40.98,4.63,71.48,71.22,71.6,68.06,67.2,75.46,76.26,71.24,65.4,86.75,69.39,68.34,71.13,71.03,51.95,39.2
0.45,0.68,0.4,0.17,8407,0.77,55.51,0.9,30.21,0.94,16.5,0.32,0.55,41.28,4.65,72.73,72.54,72.88,69.58,68.36,76.31,77.28,71.99,66.53,85.43,68.59,70.2,71.78,71.85,53.02,39.92
0.45,0.68,0.4,0.28,7944,0.77,59.45,0.91,30.29,0.95,27.4,0.31,0.53,41.57,4.67,73.7,73.57,73.74,70.57,69.7,77.47,78.36,73.02,68.02,86.84,67.72,68.92,72.59,72.87,54.91,41.99
0.44,0.67,0.39,0.26,8067,0.77,57.66,0.92,29.18,0.94,38.2,0.32,0.6,41.37,4.68,74.07,73.83,74.22,71.06,70.09,78.29,79.28,74.12,69.86,87.84,58.59,56.92,73.19,73.85,53.52,40.5
0.45,0.7,0.4,0.13,8141,0.75,60.8,0.9,31.4,0.93,22.0,0.32,0.62,40.7,4.69,75.49,75.61,75.97,72.62,71.42,76.93,78.0,72.31,68.25,87.95,71.54,68.61,72.15,72.82,52.21,38.66
0.44,0.7,0.4,0.13,7743,0.75,57.1,0.9,32.5,0.95,26.0,0.32,0.56,41.4,4.7,76.37,76.29,76.63,73.51,72.88,77.58,78.62,72.58,68.76,86.35,70.16,70.4,73.77,73.97,53.97,40.74
0.45,0.7,0.4,0.13,7270,0.75,58.2,0.9,31.7,0.95,35.0,0.31,0.71,42.3,4.71,76.93,76.72,77.2,73.97,73.98,78.06,79.29,73.01,69.66,89.05,67.13,67.73,74.15,74.53,53.91,41.12
0.46,0.69,0.39,0.18,7398,0.76,60.1,0.9,32.2,0.96,30.9,0.31,0.63,42.8,4.71,77.35,77.32,77.73,74.6,74.9,78.53,79.67,73.27,70.22,89.91,71.82,70.95,74.6,75.09,55.6,43.06
0.46,0.7,0.4,0.15,6705,0.78,58.97,0.91,32.0,0.96,27.0,0.31,0.74,43.4,4.71,76.57,76.75,76.94,73.85,73.97,77.54,78.75,71.52,69.29,88.31,72.85,75.23,74.16,74.41,54.06,41.72
0.46,0.7,0.4,0.13,7357,0.75,58.97,0.9,33.3,0.96,30.0,0.32,0.59,44.8,4.7,76.01,76.13,76.39,73.17,73.46,77.02,78.22,71.52,68.91,88.66,72.91,72.41,73.84,73.88,53.87,41.35
